Riwayat Transaksi
Mata uang:,IDR
Username:,tacticalized
Tanggal:,07/07/2026 -- 06/08/2026
ID Toko:,1327966164

Urutan,Waktu,Deskripsi,Jumlah,Catatan
124,16/07/2026,Isi Saldo,50000,-
125,16/07/2026,Isi Saldo,50000,-
126,16/07/2026,Isi Saldo,50000,-
127,16/07/2026,Isi Saldo,25000,-
128,16/07/2026,Isi Saldo,50000,-
129,16/07/2026,Isi Saldo,50000,-
130,15/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-388179,-
131,15/07/2026,Isi Saldo,50000,-
132,15/07/2026,Isi Saldo,50000,-
133,15/07/2026,Isi Saldo,50000,-
134,15/07/2026,Isi Saldo,25000,-
135,15/07/2026,Isi Saldo,25000,-
136,15/07/2026,Isi Saldo,25000,-
137,15/07/2026,Isi Saldo,50000,-
138,15/07/2026,Isi Saldo,50000,-
139,15/07/2026,Isi Saldo,50000,-
140,14/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-224924,-
141,14/07/2026,Isi Saldo,50000,-
142,14/07/2026,Isi Saldo,50000,-
143,14/07/2026,Isi Saldo,50000,-
144,14/07/2026,Isi Saldo,25000,-
145,14/07/2026,Isi Saldo,50000,-
146,13/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-166676,-
147,13/07/2026,Isi Saldo,50000,-
148,13/07/2026,Isi Saldo,100000,-
149,13/07/2026,Isi Saldo,50000,-
150,12/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-264874,-
151,12/07/2026,Isi Saldo,50000,-
152,12/07/2026,Isi Saldo,50000,-
153,12/07/2026,Isi Saldo,50000,-
154,12/07/2026,Isi Saldo,100000,-
155,11/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-87511,-
156,11/07/2026,Isi Saldo,25000,-
157,11/07/2026,Isi Saldo,50000,-
158,10/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-222560,-
159,10/07/2026,Isi Saldo,50000,-
160,10/07/2026,Isi Saldo,50000,-
161,10/07/2026,Isi Saldo,50000,-
162,10/07/2026,Isi Saldo,50000,-
163,09/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-206324,-
164,09/07/2026,Isi Saldo,100000,-
165,09/07/2026,Isi Saldo,50000,-
166,09/07/2026,Isi Saldo,50000,-
167,09/07/2026,Isi Saldo,50000,-
168,08/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-137383,-
169,07/07/2026,Deduction for Product Ad (Auto Bidding - GMV Max),-244238,-
170,07/07/2026,Isi Saldo,100000,-
171,07/07/2026,Isi Saldo,50000,-
172,07/07/2026,Isi Saldo,50000,-
173,07/07/2026,Isi Saldo,25000,-
174,07/07/2026,Isi Saldo,50000,-
175,07/07/2026,Isi Saldo,50000,-
176,07/07/2026,Isi Saldo,50000,-
